# term	zh	abbr	definition	status	matched_concept_id	gbt_id
magnetic confinement fusion	磁约束核聚变	MCF	利用强磁场将高温度和高密度等离子体约束足够长的时间而产生的核聚变反应，可以通过托卡马克(2.1.284)、仿星器(2.1.273)、反场箍缩(2.2.117)、Z箍缩(2.1.306)以及 θ 箍缩(2.1.283)等途径实现。	new		2.1.1
fast wave antennas	快波天线		用于快波电流驱动(FWCD)技术的射频天线。	new		2.2.36
fast wave current drive	快波电流驱动	FWCD	由快波产生的电流驱动，与低杂波电流驱动相比，能较为容易地渗透到等离子体中。离子回旋系统可产生快波。	new		2.2.37
ferromagnetic inserts	铁磁插件		布置在真空室内TF线圈阴影处用于减弱环向场纹波的铁磁性部件。	new		2.2.38
field shaping coil	成形场线圈		托卡马克中的一组极向场线圈，该线圈提供限制等离子体的水平和垂直运动的磁场拓扑结构，主要用来形成非圆形等离子体截面或偏滤场分界面。	new		2.2.39
first wall	第一壁	FW	在等离子体约束实验装置或聚变电站中，直接面向等离子体的真空室内部件保护层。	exists	first-wall	2.2.40
flat-top current	平顶电流		托卡马克放电波形处于平顶段的等离子体电流。	new		2.2.41
flat-top pulse length	平顶脉冲长度		等离子体电流波形平顶段的持续时间。	new		2.2.42
fuelling	加料		为聚变等离子体提供所需热核燃料。参见喷气(2.2.46)、弹丸注入(2.2.99)、超声分子束注入(2.2.131)。	new		2.2.43
fuel of fusion	聚变燃料		热核燃料 thermonuclear fuel 可发生聚变反应，同时又能释放出大量聚变能的材料。热核燃料主要有氘、氚和氦-3。	new		2.2.44
fuel pellets	燃料丸		小型柱状冷冻氘或氚燃料，将其射入等离子体中燃烧以保持等离子体芯部的足够燃料密度。	exists	fuel-pellet	2.2.45
gas puffing	喷气		通过阀门向等离子体室中喷入燃料，它主要是向等离子体边缘区域加料。	exists	gas-puffing	2.2.46
glow discharge cleaning	辉光放电清洗	GDC	用气体辉光放电的方式清洗聚变装置真空室杂质的一种有效方法。	exists	glow-discharge-cleaning	2.2.47
glow discharge plasma	辉光放电等离子体		在 10^-2Pa sim 10^-1Pa 气压下，两电极间施加电压形成的放电等离子体。 注：通常由正柱区和阴极、阳极区构成。在正柱区是准中性的，即电子密度与离子密度基本相等而无净电荷，通常电子密度为 10^15m^-3sim 10^16m^-3 ，电子温度为 1eVsim 2eV ，而且电场很低，约 1V / cm 。正柱区通常占放电管长度的绝大部分。正常辉光放电的电流密度在 50mAcdot cm^-2 以下，端电压几乎与电流无关。	new		2.2.48
halo current	晕电流		在垂直位移事件期间，等离子体与真空室壁接触，被刮削后流到约束等离子体区域外侧沿磁力线流动的电流。 注：电流路径与材料表面相交，引起材料的强加热和变形，晕电流的效应不是轴对称的，可引起大的损伤，并对装置也有潜在的威胁。	exists	halo-current	2.2.49
hard core pinch device	硬芯箍缩装置		早期的聚变研究装置，其中间插有一根固态回流导体。放电发生在导体四周的环形区中。	new		2.2.50
helias	先进的螺旋仿星器		先进的螺旋仿星器其英文全称为helical advanced stellarator,具有变形的非平面环向场线圈的仿星器位形,不用连续的螺旋线圈或者类托卡马克的极向场。Helias是电站最有希望的仿星器概念,它具有模块式工程设计和最佳等离子体,以及磁流体动力学和磁场特性。Wendelstein VI-X装置是基于5个场周期的先进的螺旋仿星器位形。	exists	helias	2.2.51
helicity injection	螺旋注入		把螺旋磁波传入到等离子体的方法。用以产生驱动电流，对维持环形和球形装置有潜在的价值。环向等离子体的螺旋量是与环向和极向磁场的链合有关的，并且在放电过程中近似地守恒。如果可以注入外加的螺旋量，那么等离子体电流可以维持，甚至提高。	exists	helicity-injection	2.2.52
helicity injection current drive	螺旋注入电流驱动		利用螺旋注入非感应电流驱动技术。	new		2.2.53
heliotron	# 螺旋器		该仿星器位形中螺旋线圈用于约束等离子体，同时有一对PF线圈提供垂直场。TF线圈有时也用于控制磁面特性。	new		2.2.54
high field ECRH launch	强场电子回旋共振加热发射		电子回旋共振微波从等离子体大环的内侧(强环场侧)发射，可用于加热较高密度等离子体。	new		2.2.55
high frequency confinement	# 高频约束			new		2.2.56
high frequency plug	# 高频堵漏			new		2.2.57
highheatflux	# 高热通量		由等离子体传导或辐射出的功率负载大于 0.5MW / m^2 。	new		2.2.58
high heat flux components	高热通量部件	HHFCs	在偏滤器中面向等离子体的部件，特别是靶板。	new		2.2.59
IC antenna	# 离子回旋天线			new		2.2.60
induction coil	# 感应线圈		能够给副边等离子体提供感应电势的原边线圈，在托卡马克装置中指欧姆加热线圈。	new		2.2.61
inductively driven plasmas	# 感应驱动等离子体		在托卡马克等离子体放电中，根据变压器原理，用欧姆加热线圈(包括螺线管线圈)驱动等离子体电流的方法。	new		2.2.62
in-vessel component	# 真空室内部件		直接安装于托卡马克真空室内的部件，如包层、偏滤器、部分加料系统、内部抽气系统、诊断传感 器等。	exists	in-vessel-component	2.2.63
iron core transformer	铁芯变压器		磁路部件用硅钢片制作的变压器。在托卡马克中铁芯使欧姆线圈与等离子体成为紧耦合的原边绕组和副边绕组，漏磁通明显减少，因而大大减少了欧姆线圈的安匝数及其供电电源的功率。	new		2.2.64
Joffe's bar	约飞棒		在早期的聚变实验装置上，为了克服磁流体不稳定性，苏联科学家约飞提出的用固体载流导体置于装置外侧，形成会切形磁场的载流棒。	new		2.2.65
L-H threshold power	L-H 转换阈值功率		在等离子体加热过程中，为了克服传导损耗，需要采用一定功率的外部加热来建立H模内部输运屏障，将等离子体芯部置于一个更好的能量约束模式中，为产生这种约束模式转换所要求的外部加热的功率称为L-H转换阀值功率。	new		2.2.66
limiter	限制器		孔栏 安装在托卡马克真空室内用于限制等离子体边界的部件。多数装置采用极向布置，同时也有环向布置。	exists	limiter	2.2.67
limiter system	限制器系统		限制器及其操控机构的组合体。	new		2.2.68
linear pinch	直线箍缩		在开端位形中等离子体的箍缩，特点是等离子体电流为轴向，而电流产生的磁场方向为角向，箍缩为径向。又称 Z -箍缩。	new		2.2.69
lining	衬套		置于聚变装置的真空室内的金属护套(壳)。	new		2.2.70
lip seal	边缘密封		在聚变装置中，采用的一种特殊的密封工艺。它是沿金属件边缘或部件周长方向延伸的多次可拆的密封连接。	new		2.2.71
low aspect ratio	低环径比		小环径比 small aspect ratio 大半径与小半径的比值小于2。	new		2.2.72
lower hybrid current drive	低混杂波电流驱动	LHCD	用低混杂波产生的非感应电流驱动。	exists	lower-hybrid-current-drive	2.2.73
lower hybrid (wave)heating	低混杂波加热	LHH	使用频率为离子回旋与电子回旋混杂频率的波对等离子体进行加热的方法。	exists	lower-hybrid-heating	2.2.74
magnetic axis	磁轴		在等离子体的平衡位形中，磁面半径为零的点沿大环方向形成一条圆形轨迹。	exists	magnetic-axis	2.2.75
magnetic field component	磁场组成		托卡马克的磁场主要是由两部分组成的。其中，第一部分是环向磁场，它是由沿着大环方向均匀布置的一组环向场线圈所产生的，并且是关于装置中心轴对称的。第二个部分是极向磁场，它是由等离子体电流及极向场线圈电流共同产生的。	new		2.2.76
magnetic mirror	磁镜		带电粒子在磁场较强处如同镜面反射一样被反射到磁场较弱处的现象。	exists	magnetic-mirror	2.2.77
magnetic mirror machine	磁镜装置		用磁镜位形来约束等离子体的热核聚变实验装置。	exists	mirror-machine	2.2.78
magnetic pumping	磁泵抽运		加上一个强度随时间变化的磁场，使等离子体借助快速振荡的外部磁场连续完成"压缩一弛豫一膨胀"，等离子体获得能量而被加热的过程。在这个过程中，磁场好像一个抽水泵，通过周期性地改变强度将能量源源不断地"抽运"到等离子体中。	new		2.2.79
magnetic quench detection	磁体失超探测		对超导磁体是否进入失超状态进行探测的方法。	new		2.2.80
main transmission line	主传输电缆	MTL	在离子回旋加热中传输射频大功率的同轴电缆。	new		2.2.81
molecular ion injection concept	分子离子注入概念		把高能分子离子注入合适的磁容器并在那里被几种过程(例如：与中性原子的碰撞、洛伦兹离解等)之一离解，然后使俘获的高能离子的密度增加到具有热核意义的值，同时将它们的定向速度转换成热等离子体的随机运动。	new		2.2.82
mathbfNb_3mathbfSn superconductor	铌三锡超导体		由铌三锡金属间化合物制成的高性能超导体，适合在 4.5K 氦冷却条件下及12T以下使用。	new		2.2.83
mathbfNb_3mathbfAl superconductor	铌三铝超导体		由铌三铝金属间化合物制成的高性能超导体，适合在 4.5K 氦冷却条件下及15T以下使用。	new		2.2.84
NbTi alloy superconductor	铌钛合金超导体		用铌钛合金制成的柔性超导体，适合在 4.5K 氮冷却条件下及8T以下使用。	new		2.2.85
negative ion neutral injector	负离子-中性束注入器		由负离子源提供的中性束注入器。	new		2.2.86
negative ion source	负离子源		产生负离子的离子源。	exists	negative-ion-source	2.2.87
neutral beam	中性束		中性粒子束 neutral particle beam;NPB 由离子源引出的快离子束经过中性化后形成的高能中性粒子束。	new		2.2.88
neutral beam current drive	中性束电流驱动	NBCD	使用高能中性束注入而产生的非感应电流驱动。	exists	neutral-beam-current-drive	2.2.89
neutral beam injection heating	中性束注入加热		将能量足够高的中性粒子束注入装置的约束区域，这些注入的高能中性粒子由于被电离和电荷交换而被俘获，然后再与本底离子和电子碰撞把能量交给这些电子和离子，使这些粒子获得能量，加热等离子体。	exists	neutral-beam-injection	2.2.90
neutron wall loading	中子壁载荷		进入包围等离子体的第一物理边界的聚变中子所携带的能量通量。	exists	neutron-wall-loading	2.2.91
Ohmic heating	欧姆加热		焦耳加热 Joule heating 电流流过电阻不等于零的等离子体，由于焦耳效应而加热等离子体的方法。等离子体电阻率随着等离子体电子温度升高而很快降低，欧姆加热效率也变得很小，因此只用欧姆加热不能将等离子体加热到很高的温度。	exists	ohmic-heating	2.2.92
Ohmic heating system	欧姆加热系统		OH系统 托卡马克中使用感应线圈进行电阻加热的系统，包括欧姆加热线圈、电源等。	new		2.2.93
operating margins	运行裕量		极限值与标称值之差。	new		2.2.94
operating parameter	运行参数		表征托卡马克装置或某部件运行状态性质的量。例如：温度 (T) 、聚变功率 (P) 、电流 (I) 和磁场 (B) 等。	new		2.2.95
overturning moment	倾覆力矩		在等离子体放电过程中，托卡马克环向场线圈的顶部和底部受到垂直磁场的作用而在大环方向倾倒的力矩。	new		2.2.96
pancake winding	饼形绕组		绕制磁体线圈的方法。导体沿圆周方向而不是磁体轴线方向绕制，形成如饼状单元模块；饼状模块堆叠在一起，而后再串联或采用多饼连续绕制工艺。	new		2.2.97
particle exhaust	粒子抽运		利用偏滤器或限制器从等离子体中抽出粒子的各种方法。	new		2.2.98
pellet injection	弹丸注入		把一串冷冻的燃料小丸高速射入到等离子体中的加料方法。	exists	pellet-injection	2.2.99
pinch device	箍缩装置		基于箍缩效应的磁约束装置。	new		2.2.100
plasma heating	等离子体加热		增加等离子体的平均能量(即温度)，获得高温等离子体的过程。通常有欧姆加热、中性束粒子加热和(或)射频波加热等。	new		2.2.101
plasma facing components	面向等离子体部件	PFC	与等离子体直接作用的真空室内部件。	exists	plasma-facing-component	2.2.102
plasma gun	等离子体枪		用来产生高速等离子体团的设备。	exists	plasma-gun	2.2.103
plasma shutdown	等离子体熄灭		在等离子体燃烧末期，等离子体能量衰减为零的过程。	exists	plasma-shutdown	2.2.104
poloidal divertor	极向偏滤器		能引出极向磁力线并在极向场中形成分界面的一种偏滤器。	new		2.2.105
poloidal field coils	极向场线圈	PF	在托卡马克中用于产生极向场的线圈。	conflict	poloidal-field-coil|poloidal-field-coils	2.2.106
port axis direction	端口轴向		端口延伸部的径向对称轴。	new		2.2.107
positive ion neutral injector	正离子-中性束注入器		由正离子源提供的中性束注入器。	new		2.2.108
profile control	分布控制		通过控制压强、密度和电流的径向变化控制不稳定性和改善等离子体约束。	new		2.2.109
pumpeddivertor	抽气偏滤器		磁力线进入环绕靶板的抽气室的偏滤器。	new		2.2.110
quench	超导失超		超导磁体由超导态到常规态的不可控和不可逆的转变。	exists	quench	2.2.111
radiativedivertor	辐射偏滤器		能使大部分功率在到达靶板之前被辐射掉的一种偏滤器。	exists	radiative-divertor	2.2.112
radio frequency and microwave plasma arc	射频和微波等离子体弧		由射频和微波产生的等离子体电弧，是加热等离子的手段。	new		2.2.113
radio frequency heating	射频加热		RF加热 在等离子体中利用射频波(电磁波)在传播过程中将能量传递给等离子体，从而使等离子体得到加热的手段。参见射频波(2.1.246)。	exists	radio-frequency-heating	2.2.114
residual resistance ratio	剩余电阻率比	RRR	超导体基体材料室温电阻与低温剩余电阻率之比。取略高于临界温度处的电阻值为剩余电阻率。	new		2.2.115
resonant ions/electrons	共振离子/电子		当等离子体中粒子运动的特征频率之一(例如，回旋频率)与某些外加扰动频率(例如，射频波)匹配时发生共振的离子/电子。	new		2.2.116
reverse field pinch	反场箍缩	RFP	极向场和环向场的大小接近的环向磁约束。当等离子体电流超过临界值时接近等离子体边缘的环向场变成反向，使稳定性得到维持。	exists	reversed-field-pinch	2.2.117
sawtooth stabilization	锯齿稳定		抑制各种锯齿波动使等离子体稳定的方法。	new		2.2.118
septum	隔板		横放于波导内并通过高导电接头连接于内壁上的金属板，该板体通常根据电感、电容或阻抗参数要求设计出一个或多个窗口。	new		2.2.119
shockwave tube	激波管		充电到高压的电容器组在管的一端对气体放电来电离和加热气体，从而产生激波的充气管。	new		2.2.120
shock wave heating	激波加热		利用激波的形成和传播实现等离子体加热。加热机理基本上不可逆，给予等离子体的能量总是大于由相同幅值的绝热压缩得到的值。	new		2.2.121
single/double null	单/双零		分界面自身交叉的极向磁场零点。通常处于等离子体上部和/或下部(但是，有时处于大环平面处)。大多数偏滤器位形都有一个单零点或者双零点，称为X点。	new		2.2.122
spherical Tokamak	球形托卡马克		接近球形的低环径比托卡马克，也称为球形环。	exists	spherical-tokamak	2.2.123
spheromak	球马克		采用准静态感应形成技术致使尖峰功率要求和等离子体电极接触最小来产生等离子体的一种装置。球马克堆的优点是：比压值高，线圈和包层在拓扑学上不与等离子体环接。	exists	spheromak	2.2.124
start-up assist	启动辅助		协助等离子体的形成以减少启动时对磁通消耗的需求。	new		2.2.125
superconductivity	超导电性		在一定条件下，材料被认为具有直流电阻为零和完全抗磁性的性质。 注：一定条件是指适当的温度、磁场强度和电流密度。	exists	superconductivity	2.2.126
superconductor	超导体		在一定条件下呈超导电性的材料。	exists	superconductor	2.2.127
superconducting coil	超导线圈		使用超导材料绕制的磁体线圈。	new		2.2.128
superconducting magnets	超导磁体		由超导线圈组成的磁体。	conflict	superconducting-magnet|superconducting-magnets	2.2.129
superconductor Tokamak	超导托卡马克		由超导磁体构成的托卡马克装置。	new		2.2.130
supersonic molecular beam injection	超声分子束注入	SMBI	高压气体通过拉瓦尔喷嘴进入真空室形成超声分子束进行加料的方法。SMBI具有比脉冲喷气更高的分子速度和更小的散度。SMBI还是研究等离子体输运的有力手段。	exists	supersonic-molecular-beam-injection	2.2.131
tandem mirror	串级磁镜		为了减少简单磁镜上粒子损失的实验装置，它是在简单磁镜两端各再接上一个或多个端部磁镜形成的，端部磁镜区的等离子体密度比中心磁镜区的等离子体密度可以高到一个数量级。此时，在端部形成得很深的双极位阱将阻止中心磁镜区离子沿磁场方向的损失而且使离子寿命增加。	exists	tandem-mirror	2.2.132
TF ripple	环向场纹波		在托卡马克中使用有限个离散的环向场线圈而造成环向磁场大小在大环方向有一定的波动。这种磁场内的"纹波"会捕获粒子并使功率损失。	exists	tf-ripple	2.2.133
target plate	偏滤器靶板		磁偏滤器的等离子体排气通道终止的地方。	exists	divertor-target	2.2.134
Tokamak operating boundaries	托卡·马克运行边界		运行极限 operating limits 一组等离子体参数(例如:密度、电流和压强)边界,超出边界就不可能运行托卡马克。优化控制等 离子体截面形状和电流分布可以提高运行参数范围。	new		2.2.135
toroidal magnetic (line) cusp	环形磁场会切	TORMAC	环形磁场会切是在高比压下运行的混合约束系统。具有高比压等离子体的闭合环向磁通量的区域与周围的场由一窄鞘层分开。周围的场包含外部产生的环形线会切位形排列的极向分量，迁移到外鞘的等离子体在被偏滤器系统除去前暂时被磁镜约束。	new		2.2.136
toroidal configuration	环形位形		约束磁场的磁力线成环形的闭合位形。环形位形包括托卡马克位形、仿星器位形、环形 Z 箍缩、环形 θ 箍缩和环形螺旋箍缩。	new		2.2.137
toroidal direction	环向		在一个圆环面中，与环轴圆周平行的方向。	exists	toroidal-direction	2.2.138
toroidal field	环向场	TF	在托卡马克中，由绕在等离子体真空室外的垂直于赤道面的磁场线圈产生的主要的磁场。	exists	toroidal-field	2.2.139
toroidal field coils	环向场线圈		TF线圈 在环向方向均匀布置在真空室外用于产生环向磁场的线圈。	conflict	toroidal-field-coil|toroidal-field-coils	2.2.140
toroidal pinch	环向箍缩		闭合位形中的等离子体的箍缩。它是环形磁约束系统，其中环向等离子体电流既加热等离子体，又提供极向箍缩磁场。	new		2.2.141
torus	环形线圈		圆环形形状的磁体部件。	exists	torus	2.2.142
unipolar arc	单极电弧		在金属表面和与金属表面接触的等离子体之间的电弧，这种电弧仅需要一个电极，并且由电子的热能维持。	exists	arcing	2.2.143
vapour phase catalytic exchange	气相催化交换		水蒸气与装填在垂直柱体中的催化剂接触以便优先将氢的同位素分离成轻的和重的同位素流体的物理化学过程。	new		2.2.144
vertical stability control	垂直稳定性控制		垂直位置控制 vertical position control 截面拉长的等离子体在垂直方向上是不稳定的，如果等离子体开始运动，用等离子体位置传感器信号反馈控制产生水平磁场的极向场线圈电流或者是通过靠近等离子体的无源导体感应的涡流产生的水平磁场就可以抑制等离子体的运动。	new		2.2.145
wall etch	壁腐蚀		真空室第一壁遭到等离子体中高能粒子轰击而受到的损伤。	new		2.2.146
wave heating	波加热		以各种等离子体波的形式加热等离子体的方法。波加热涉及的问题是：波的产生或者激发、波的传播和模式转换及波的能量吸收和热化。	exists	radio-frequency-heating	2.2.147
Yin-Yang coil	阴阳线圈		由两个独立的跑道型线圈弯成C型后交错地合在一起构成的，能够产生类似于网球缝线型线圈产生的极小B位形的线圈。其优点是：所产生磁场的磁镜要比网球缝线型线圈产生的更大，而且可变，消耗功率很小，装置有较大灵活性。	new		2.2.148
beam emission spectroscopy	束发射光谱	BES	使用低能中性束注入等离子体产生的发射光谱对等离子体进行诊断的技术。	exists	beam-emission-spectroscopy	2.3.1
bolometer	辐射热测定仪		利用广谱辐射探测器来测量全波长区域总电磁辐射能量的仪器，也称为辐射量热计。	exists	bolometer	2.3.2
Brewster angle	布儒斯特角		电介质的极化角，它等于平行于入射平面的偏振波完全透射(不反射)时的入射角。因此，以这个角入射的非偏振波被分解为部分偏振的透射分量和完全偏振的反射分量。	new		2.3.3
charge-coupled device	电荷耦合器件	CCD	利用电荷耦合探测光的传感器件。	new		2.3.4
charge exchange recombination spectroscopy	电荷交换复合光谱学		等离子体中的中性原子(例如，来自中性束)向完全电离的杂质离子贡献电子，产生类氢离子。当电子能级跃迁时发射光子，通过光谱学方法可以确定杂质粒子的温度、旋转以及密度。	exists	charge-exchange-recombination-spectroscopy	2.3.5
diamagnetic loop	逆磁环		在极向方向环绕等离子体柱放置的一个感应线圈，通过测量磁场强度的变化，以推算出等离子体柱中逆磁强度，并可推算出等离子体总内能信息。	exists	diamagnetic-loop	2.3.6
dye laser	染料激光器		波长可调的激光器，在这种激光器中的工作介质是一种大分子染料，比如七叶灵，激光的作用发生在电子的第一激发态和基态之间，每个状态都包括宽阔的振动和转动连续区。	new		2.3.7
electron cyclotron emission	电子回旋发射	ECE	测量电子绕磁力线的回旋运动产生的电磁辐射。诊断中用于测量电子的温度。	exists	electron-cyclotron-emission	2.3.8
electrostatic analyzer	静电分析器		通过静电偏压过滤不同能量的带电粒子，并分别收集和计数的仪器。	new		2.3.9
Fabry-Perot interferometer	法布里-珀罗干涉仪		由两块平行玻璃片组成，间距在几厘米范围内可调的干涉仪；玻璃片的两个内表面镀银形成半透膜，入射光波在其间多次反射，形成干涉后，再透射出来，最后接收干涉光信号。	new		2.3.10
Faraday rotation	法拉第旋转		光通过磁化等离子体后，其偏振面的旋转。	exists	faraday-rotation	2.3.11
Faraday screen	法拉第屏蔽		静电屏蔽层，它由金属网或一系列平行金属丝组成并接地，通常与接地导体的一端相连，用于离子回旋共振加热(ICRH)天线与等离子体之间的静电屏蔽。	exists	faraday-screen	2.3.12
first mirrors	第一镜		面向等离子体并直接受其辐照的反射镜(通常用于等离子体诊断或电子回旋加热系统)。	new		2.3.13
flux loop	通量环		在等离子体周围沿着环向方向布置的大型单匝线圈，用于测量该线圈所围绕的磁通量。	exists	magnetic-flux-loop	2.3.14
H-alpha studies	H-α研究		通过观察氢原子发射光谱的巴尔曼线系的第一条谱线(波长 656.3nm )，用于研究等离子体边界的诊断技术。	new		2.3.15
heavy-ion beam probe	重离子束探针		将高能重离子(例如，铊)束横越磁场注入等离子体中，借助仪器测量出射的粒子以获得等离子体的电位分布、密度分布、磁场分布、电流分布等参数的等离子体诊断设备。	new		2.3.16
Hugill diagram	海吉尔图		在等离子体不同运行参数下统计出的 1 / q 相对于 nR / B 的曲线图(式中， q 为等离子体边缘处的安全因子， n 为平均电子密度， R 为等离子体大半径， B 为等离子体中心的环向场)，可以清楚地看到密度与 q 的运行极限值，进而划定安全运行区。	new		2.3.17
interferometry	干涉量度学		泛指光学干涉仪的设计和应用。应用方面包括波长的精确测定，极短距离及极薄厚度的测量，谱线超精细结构的研究，折射率的精确测定等。	exists	interferometry	2.3.18
Langmuir probe	朗缪尔探针		静电探针 electric probe 在低温等离子体中用于测量电子温度、电子与离子密度、空间与壁电位和随机电子电流的器件。它基本上由一个、两个或者更多的收集电极组成，电极上加有各种不同的电位，同时测量相应的收集电流。	exists	langmuir-probe	2.3.19
laser interferometer	激光干涉仪		利用等离子体密度对光的折射率的影响，用激光通过等离子体产生光程变化后与参考光束干涉，最后从干涉条纹对应的相位变化测得等离子体密度的测量仪器。	exists	interferometry	2.3.20
lost alpha detectors	逃逸 α 粒子探测器		测量逃逸出等离子体的聚变产物 α 粒子的探测器。	new		2.3.21
Mach-Zehnder interferometer	马赫-曾恩德尔干涉仪		利用两个半透镜和两个全反射镜，将平行激光束分为两路，一路通过被测的等离子体，另一路作为参考光束，然后将两路光合成。由于等离子体状态不同，附加了两路光束间的光程差，把两路光条纹相比较，得出条纹移动数，从而计算出各点平均电子密度的仪器。	new		2.3.22
magnetic bottle	磁瓶		在受控热核聚变实验中用来约束等离子体的磁场，它是磁力线位形呈现瓶颈形聚束的磁俘获器。	new		2.3.23
magnetic diagnostics	磁诊断		以各种形状的线圈排列在等离子体周围以测量局域磁场强度或磁通。参见罗戈夫斯基线圈(2.3.31)。	exists	magnetic-diagnostics	2.3.24
magnetic probe; pick-up loop(coil)	磁探针	Mirnov	由一定匝数(通常为几十匝)截面较小(直径为零点几到几毫米)的线圈绕成的小螺旋管构成的测量线圈所在点磁场强度和磁扰动等的线圈。	exists	magnetic-probe	2.3.25
microwave interferometer	微波干涉仪		通过等离子体的微波束产生相位变化，测量干涉条纹推算出相位差，最后获得波束传播路上的平均电子密度的仪器。	new		2.3.26
microwave reflectometer	微波反射仪		托卡马克中通过微波的反射信号测量来获得等离子体密度及其涨落信息的诊断系统。	exists	reflectometry	2.3.27
motional Stark effect	运动斯塔克效应	MSE	横越磁场的带电粒子感应一个电场。这就引起粒子发射的光谱线的斯塔克分裂，这种光谱线可以展现托卡马克内的局域磁场。这是导出托卡马克电流分布的一项主要诊断。	exists	motional-stark-effect	2.3.28
neutral particle analyser	中性粒子分析器	NPA	包括一组微通道板探测器的仪器，用以测量从等离子体离开的中性粒子的能谱，可以观察到热离子谱和快离子谱。	new		2.3.29
plasma diagnostics technique	等离子体诊断技术		测量等离子体各种参量的方法。等离子体诊断分为被动和主动两类。被动方式是测量等离子体发射的电磁波或粒子。通过对等离子体产生辐射的测量，可了解电子温度、离子温度、杂质、逃逸电子等信息。通过对等离子体发射粒子的测量，可了解中子、中性粒子、离子温度等信息。还可测量等离子体的电压、电流等电磁信号。主动测量是由外界送入电磁波、粒子束等来进行的测量。例如，激光散射法测定等离子体的电子温度、离子温度和密度分布；中性粒子束衰减可测密度；由重离子束可测密度分布、磁场分布、电势分布等。	new		2.3.30
Rogowski coil; Rogowski belt	罗戈夫斯基线圈	Rogowski	用于测量等离子体电流、磁体线圈电流和可能存在的晕电流的传感器。其主要部分是一种细长的多匝环形螺线管，围绕被测电流形成封闭的环。通过线圈端部测得的感应电压与流过封闭环的电流的变化率成正比。	exists	rogowski-coil	2.3.31
soft X-rays camera	软X射线成像仪		将热等离子体辐射产生的软X射线映像，以获得有关等离子体密度与温度分布的仪器。	new		2.3.32
survey spectrometer	广谱测量光谱仪		可以提供很宽频率范围光谱数据的仪器	new		2.3.33
Thomson scattering diagnostic	汤姆逊散射诊断		激光散射(诊断) laser scattering (diagnostic) 利用激光散射和等离子体电子引起的多普勒位移测量温度和密度的诊断方法。	exists	thomson-scattering	2.3.34
abnormal event	异常事件		电站或部件运行状态的非预期变化，但不会引起计划外的停堆。	exists	off-normal-event	2.4.1
abnormal operation	异常运行		电站或部件偏离了正常运行的程序或运行状态。这种偏离包括在启动、电流驱动和停堆过程中偏离正常的运行程序，或者在聚变功率偏离其标称值下的运行。	exists	abnormal-operation	2.4.2
abnormal operating conditions	异常运行工况		电站或其部件偏离正常运行的工况。	new		2.4.3
"active"environment	"有源"环境		由于遭受风化侵蚀使沉积的放射性污染物比掩埋的污染物会更迅速扩散的地面环境部分。相比而言，掩埋的污染物不会经受这种侵蚀("无源"环境)。	new		2.4.4
alpha-power	α 功率		聚变堆反应能中由反应产物 α 粒子携带的功率。	new		2.4.5
alternativefuels	替代燃料		除氘和氚以外的聚变燃料。	new		2.4.6
availability	可用率		系统或电厂中能执行其运行时间所占的百分比。也称为运行可用率(operation availability)。	exists	availability	2.4.7
beyond-design-basis accidents	超设计基准事故		已超出了设计基准许可的事故。	new		2.4.8
bioshield	# 生物屏蔽层		一堵包围托卡马克主低温恒温器(杜瓦)的混凝土厚壁，用以吸收大量由等离子体放出的残留辐射以保护外围区域。	exists	bioshield	2.4.9
blanket	# 包层		在聚变堆堆芯周围将聚变能转变成热能和生产氚的结构。	exists	blanket	2.4.10
blanket materials	# 包层材料		包层内所使用的材料，包括：氚增值材料、中子倍增材料、冷却剂和结构材料等。	new		2.4.11
blanket module	# 包层模块		在聚变堆装置中，为了通过赤道入口便于包层的安装、维修和更换，包层被设计成若干个规范化的独立单元。	exists	blanket-module	2.4.12
blanket shield	# 包层屏蔽		在聚变堆装置中，面向等离子体的第一壁部件；它能移走热量并保护包层、真空室和磁体免受辐照损伤。	new		2.4.13
borated concrete	# 含硼混凝土		掺入硼的混凝土。硼能很好地吸收中子。这种混凝土可以用于ITER(2.4.47)的生物屏蔽层上。	new		2.4.14
breeder	# 增殖部件		聚变电站中用于增殖氚的部件，有时也指增殖氚的反应堆。最常用的反应为： \mathrm {L i} + \mathrm {n} \rightarrow \mathrm {T} + \alpha + 4. 8 \mathrm {M e V} 这里与快堆(裂变电站)中的增殖过程不同。	new		2.4.15
breeding blanket	# 增殖包层		通过锂俘获聚变中子来增殖氚的包层结构。	exists	breeding-blanket	2.4.16
breeding technologies	# 增殖技术		通过锂俘获中子来增殖氚的技术。	exists	breeding-technologies	2.4.17
burning control	# 燃烧控制		为维持燃烧等离子体温度、密度、成分等所进行的控制。	new		2.4.18
burning plasma	# 燃烧等离子体		当聚变产生的 α 粒子的加热功率大于外部输入的加热功率时的等离子体。	exists	burning-plasma	2.4.19
ceramic breeders	# 陶瓷：增殖层		在增殖包层中含有锂增殖材料的陶瓷材料层。	new		2.4.20
common-cause failure	# 共因故障	CCF	由于一些单个事件或原因而导致的一些设备或部件的功能失效。	new		2.4.21
compliant material	兼容性材料		相互接触但并不发生化学反应的材料。	new		2.4.22
conceptual design activity	概念设计活动	CDA	为达到确定的研究目标所进行的一系列基本框架设计研究活动。在ITER(2.4.47)上特指1988年～1990年所进行的活动。	new		2.4.23
