# concept_id	lang	definition	source
post-irradiation-examination	zh	对辐照试验后取出材料进行的实验室表征（PIE）。	internal:dict-improvements
post-processing	en	Analysis and visualization of simulation outputs after the main solver run.	internal:dict-improvements
post-processing	zh	主求解器运行后对仿真输出进行分析与可视化的步骤。	internal:dict-improvements
pre-service-inspection	en	PSI, baseline NDT examination performed before plant operation; reference for ISI trending.	internal:dict-improvements
pre-service-inspection	zh	装置投运前进行的基线无损检测，作为役检趋势分析参考（PSI）。	internal:dict-improvements
probability-table	en	Tabulation of cross-section sub-sample probabilities used to model unresolved resonance region.	internal:dict-improvements
probability-table	zh	用于模拟未分辨共振区的截面子抽样概率表。	internal:dict-improvements
pulsed-poloidal-current-drive	en	Non-inductive current drive scheme using pulsed poloidal field perturbations.	internal:dict-improvements
pulsed-poloidal-current-drive	zh	利用脉冲极向场扰动驱动非感应电流的方法。	internal:dict-improvements
radiation-zoning	en	Classification of plant areas by expected dose rate, governing access control and shielding.	internal:dict-improvements
radiation-zoning	zh	按预期剂量率对装置区域分级以管理出入与屏蔽的方法。	internal:dict-improvements
rams-analysis	en	Reliability, Availability, Maintainability, and Safety quantification of system performance.	internal:dict-improvements
rams-analysis	zh	对系统可靠性、可用性、可维修性与安全性的综合定量分析（RAMS）。	internal:dict-improvements
ray-tracing	en	Geometrical-optics tracing of EM rays in inhomogeneous plasma, valid in WKB regime.	internal:dict-improvements
ray-tracing	zh	在非均匀等离子体中按几何光学追踪电磁射线（WKB近似下有效）。	internal:dict-improvements
reactive-power-compensation	en	Use of capacitor banks or SVCs to supply reactive power demanded by pulsed magnet loads.	internal:dict-improvements
reactive-power-compensation	zh	使用电容器组或SVC补偿脉冲磁体负载所需无功功率的方法。	internal:dict-improvements
reduced-order-model	en	ROM, surrogate built by projecting full-order model onto low-dimensional subspace (POD, DEIM).	internal:dict-improvements
reduced-order-model	zh	将全阶模型投影到低维子空间得到的代理模型（如POD、DEIM）。	internal:dict-improvements
refactoring	en	Restructuring source code to improve maintainability without changing external behavior.	internal:dict-improvements
refactoring	zh	在不改变外部行为前提下重构源码以提升可维护性的过程。	internal:dict-improvements
regression-test	en	Automated test suite verifying that code changes do not break existing functionality.	internal:dict-improvements
regression-test	zh	自动化测试套件，验证代码改动不破坏既有功能。	internal:dict-improvements
remote-inspection	en	Visual or NDT inspection of in-vessel components by tele-operated arms or vehicles.	internal:dict-improvements
remote-inspection	zh	由遥操作机械臂或巡检车对在内部件进行可视或NDT检查。	internal:dict-improvements
rendering	en	Generation of 2D images from 3D scene description, used for visualization of geometry and results.	internal:dict-improvements
rendering	zh	由三维场景描述生成二维图像的过程，用于几何与结果可视化。	internal:dict-improvements
response-surface	en	Polynomial or Gaussian process surrogate fitted over input parameter space.	internal:dict-improvements
response-surface	zh	在输入参数空间上拟合的多项式或高斯过程代理模型。	internal:dict-improvements
rigorous-two-step	en	R2S coupling scheme: Step 1 neutron transport gives flux; Step 2 activation gives decay photon source then transported.	internal:dict-improvements
rigorous-two-step	zh	严格两步法：第一步中子输运给通量，第二步活化给衰变光子源并输运。	internal:dict-improvements
rotating-magnetic-field	en	RMF current-drive technique using rotating transverse field to drive azimuthal current in compact toroids.	internal:dict-improvements
rotating-magnetic-field	zh	在紧凑环中以旋转横场驱动周向电流的电流驱动技术（RMF）。	internal:dict-improvements
russian-roulette	en	Variance reduction killing low-weight particles with probability 1-w/w_s; survivors weight set to w_s.	internal:dict-improvements
russian-roulette	zh	以概率1-w/w_s杀死低权粒子、幸存者权重设为w_s的方差减小方法。	internal:dict-improvements
scanning-electron-microscopy	en	SEM, surface imaging using focused electron beam scanning; nm resolution.	internal:dict-improvements
scanning-electron-microscopy	zh	以聚焦电子束扫描成像表面的显微方法，分辨率达纳米级（SEM）。	internal:dict-improvements
scripting	en	Writing short programs in interpreted languages (Python, bash) to automate workflows.	internal:dict-improvements
scripting	zh	以解释型语言（Python、bash）编写短程序自动化工作流的实践。	internal:dict-improvements
seismic-isolation	en	Use of base isolators decoupling structure from ground motion to reduce seismic loads.	internal:dict-improvements
seismic-isolation	zh	使用基础隔震器将结构与地面运动解耦以降低地震载荷的方法。	internal:dict-improvements
serialization	en	Conversion of data structures to byte stream for storage or network transmission.	internal:dict-improvements
serialization	zh	将数据结构转换为字节流以便存储或网络传输的过程。	internal:dict-improvements
shielding-analysis	en	Computation of dose rate and heating outside biological shield from neutron and gamma transport.	internal:dict-improvements
shielding-analysis	zh	基于中子与伽马输运计算生物屏蔽外剂量率与发热的分析。	internal:dict-improvements
shock-ignition	en	ICF scheme launching a strong converging shock at end of compression to trigger central ignition.	internal:dict-improvements
shock-ignition	zh	在压缩末端发射汇聚强激波以触发中心点火的ICF方案。	internal:dict-improvements
siliconization	en	Wall conditioning depositing thin silicon film via silane glow discharge to getter oxygen.	internal:dict-improvements
siliconization	zh	以硅烷辉光放电沉积薄硅层吸气氧的壁调理方法。	internal:dict-improvements
site-acceptance-test	en	SAT, contractual test at owner site verifying installed system meets specifications.	internal:dict-improvements
site-acceptance-test	zh	在业主现场进行的合同验收测试，验证已安装系统满足规范（SAT）。	internal:dict-improvements
small-punch-test	en	Miniaturized mechanical test using small disc specimens, suitable for irradiated material characterization.	internal:dict-improvements
small-punch-test	zh	使用小圆盘试样的小型力学试验，适用于辐照材料表征。	internal:dict-improvements
source-biasing	en	Variance reduction sampling source particles preferentially in directions/energies of interest.	internal:dict-improvements
source-biasing	zh	在感兴趣方向或能量上偏倚源粒子抽样的方差减小方法。	internal:dict-improvements
spectrum-weighting	en	Collapsing fine-group cross-sections to broad groups using a representative neutron flux spectrum.	internal:dict-improvements
spectrum-weighting	zh	以代表性中子能谱将细群截面归并到宽群的方法。	internal:dict-improvements
ssh-tunnel	en	Encrypted port forwarding through SSH protocol for remote access to internal services.	internal:dict-improvements
ssh-tunnel	zh	通过SSH协议进行加密端口转发以远程访问内部服务的方法。	internal:dict-improvements
structural-design	en	Engineering design of load-bearing components considering stress, fatigue, and stability.	internal:dict-improvements
structural-design	zh	考虑应力、疲劳与稳定性进行承载部件设计的工程过程。	internal:dict-improvements
surface-current-tally	en	MC tally counting net particle current crossing a surface; F1 in MCNP.	internal:dict-improvements
surface-current-tally	zh	统计粒子通过给定表面的净流的MC计数（MCNP中F1型）。	internal:dict-improvements
surrogate-model	en	Cheap-to-evaluate model approximating expensive simulation; trained on input-output pairs.	internal:dict-improvements
surrogate-model	zh	以输入-输出对训练的廉价代理模型，用于近似昂贵仿真。	internal:dict-improvements
synthetic-diagnostics	en	Forward model computing what a real diagnostic would measure given simulated plasma state.	internal:dict-improvements
synthetic-diagnostics	zh	由仿真等离子体状态正向计算真实诊断将测得信号的前向模型。	internal:dict-improvements
tcap	en	Thermal Cycling Absorption Process for hydrogen isotope separation by sequential adsorption and desorption.	internal:dict-improvements
tcap	zh	通过周期性吸附与解吸进行氢同位素分离的热循环吸收工艺（TCAP）。	internal:dict-improvements
tensile-test	en	Standard mechanical test pulling specimen until fracture, giving stress-strain curve and yield/UTS.	internal:dict-improvements
tensile-test	zh	标准力学试验，将试样拉伸至断裂得到应力-应变曲线及屈服强度/UTS。	internal:dict-improvements
thermal-hydraulic-analysis	en	Computation of coolant flow, heat transfer, and pressure drop in reactor systems.	internal:dict-improvements
thermal-hydraulic-analysis	zh	对反应堆系统中冷却剂流动、传热与压降的计算分析。	internal:dict-improvements
thermo-mechanical-analysis	en	Coupled analysis of thermal and mechanical response under combined heat and structural loads.	internal:dict-improvements
thermo-mechanical-analysis	zh	热-机耦合载荷下结构温度场与应力响应的耦合分析。	internal:dict-improvements
track-length-estimator	en	Monte Carlo flux estimator scoring track length per unit volume; one of three standard estimators.	internal:dict-improvements
track-length-estimator	zh	按单位体积内径迹长度累加的蒙特卡罗通量估计方法。	internal:dict-improvements
transient-analysis	en	Time-dependent analysis of system response to perturbations or accident scenarios.	internal:dict-improvements
transient-analysis	zh	对系统在扰动或事故工况下时变响应的瞬态分析。	internal:dict-improvements
transmission-electron-microscopy	en	TEM, imaging by transmitting electron beam through thin specimen; sub-nm resolution, dislocation analysis.	internal:dict-improvements
transmission-electron-microscopy	zh	电子束穿透薄试样成像的电镜方法，分辨率达亚纳米，可分析位错（TEM）。	internal:dict-improvements
tritium-removal	en	Detritiation processes removing T from plant effluents, soft housekeeping water, or trapped in materials.	internal:dict-improvements
tritium-removal	zh	从装置流出物、辅助清洗水或材料滞留中移除氚的去氚化工艺。	internal:dict-improvements
uncertainty-quantification	en	UQ, systematic propagation and characterization of input uncertainties through model to outputs.	internal:dict-improvements
uncertainty-quantification	zh	系统传递并表征输入不确定度通过模型到输出的方法（UQ）。	internal:dict-improvements
unit-test	en	Software test exercising a single function or class in isolation.	internal:dict-improvements
unit-test	zh	单独测试一个函数或类功能的软件测试。	internal:dict-improvements
validation	en	Demonstration that a model represents reality within acceptable accuracy by comparison with experiment.	internal:dict-improvements
validation	zh	通过与实验对比证明模型在可接受精度内描述真实世界的过程。	internal:dict-improvements
verification	en	Demonstration that a code correctly solves the equations it is intended to solve.	internal:dict-improvements
verification	zh	证明程序正确求解其预期方程的过程。	internal:dict-improvements
version-control	en	Source-code management system tracking revisions and enabling branching/merging (git, hg).	internal:dict-improvements
version-control	zh	跟踪源码修订并支持分支/合并的源码管理系统（git、hg）。	internal:dict-improvements
vitrification	en	Solidification of high-level liquid waste in borosilicate glass matrix for long-term storage.	internal:dict-improvements
vitrification	zh	将高放液体废物固化于硼硅酸盐玻璃基体用于长期贮存的工艺。	internal:dict-improvements
waste-minimization	en	Practices reducing volume and activity of radioactive waste at source and through processing.	internal:dict-improvements
waste-minimization	zh	从源头与处理两方面减少放射性废物体积与活度的实践方法。	internal:dict-improvements
welding	en	Joining of metals by localized melting and solidification, with or without filler material.	internal:dict-improvements
welding	zh	以局部熔化凝固连接金属的工艺，可加或不加焊材。	internal:dict-improvements
workflow-automation	en	Orchestration of multi-step computational tasks via scripts or pipeline frameworks (Snakemake, Nextflow).	internal:dict-improvements
workflow-automation	zh	通过脚本或流水线框架（Snakemake、Nextflow）编排多步计算任务的自动化。	internal:dict-improvements
x-ray-diffraction	en	XRD, structural analysis using Bragg diffraction of X-rays from crystal lattice planes.	internal:dict-improvements
x-ray-diffraction	zh	利用晶面对X射线的Bragg衍射进行结构分析的方法（XRD）。	internal:dict-improvements
helias	en	Stellarator family using modular non-planar coils to produce optimized quasi-isodynamic configuration; basis of W7-X.	internal:dict-improvements
mirror-machine	en	Linear magnetic confinement device with field maxima at both ends reflecting most charged particles back.	internal:dict-improvements
negative-ion-source	en	Plasma source generating H- or D- ions for high-energy NBI; needed for E > ~100 keV/amu where neutralization of positive ions is inefficient.	internal:dict-improvements
reversed-field-pinch	en	RFP, toroidal pinch device where toroidal field reverses direction near plasma edge; high-current self-organized state.	internal:dict-improvements
spherical-tokamak	en	Tokamak with low aspect ratio (R/a ~ 1.2-1.7) achieving high beta and natural elongation; e.g., NSTX, MAST.	internal:dict-improvements
spheromak	en	Compact toroid configuration with comparable poloidal and toroidal fields, no central solenoid; sustained by helicity injection.	internal:dict-improvements
tandem-mirror	en	Mirror device with end plug cells producing electrostatic confinement potentials to plug ions in central cell.	internal:dict-improvements
z-pinch	en	Linear pinch confining plasma column by self-magnetic field of axial current; subject to m=0 sausage and m=1 kink instabilities.	internal:dict-improvements
asdex-upgrade	zh	ASDEX Upgrade，德国IPP的中型偏滤器托卡马克，设有钨壁，开展边缘等离子体与H模物理研究。	internal:dict-improvements
diii-d	zh	DIII-D，美国通用原子公司的中型偏滤器托卡马克，开展形状、剖面与控制研究。	internal:dict-improvements
east	zh	EAST，中国合肥的实验先进超导托卡马克，超导磁体支持长脉冲稳态运行研究。	internal:dict-improvements
gyrotron	zh	回旋管，工作于电子回旋频率（~100-200 GHz）的高功率毫米波源，用于ECRH/ECCD。	internal:dict-improvements
jet	zh	JET（联合欧洲环），世界最大的氘氚托卡马克，1997年与2021年完成D-T实验，2023年关停。	internal:dict-improvements
jt-60sa	zh	JT-60SA，日本量研机构与欧洲合作的超导托卡马克，研究先进运行模式。	internal:dict-improvements
kstar	zh	KSTAR，韩国超导托卡马克，使用全Nb3Sn磁体研究稳态高性能等离子体。	internal:dict-improvements
nstx-u	zh	NSTX-U，美国PPPL的国家球形环装置升级版，研究低纵横比稳态运行。	internal:dict-improvements
pellet-injector	zh	弹丸注入器，将冷冻氘/氚弹丸高速射入等离子体进行芯部加料的装置。	internal:dict-improvements
ac-dc-converter	en	Power-electronics converter rectifying AC grid power to DC for magnet supplies and similar loads.	internal:dict-improvements
ac-dc-converter	zh	将交流电网整流为磁体电源等直流负载所需直流电的电力电子变换器。	internal:dict-improvements
arc	en	MIT compact high-field DT tokamak concept using REBCO HTS magnets to demonstrate net electricity at small size.	internal:dict-improvements
arc	zh	MIT基于REBCO高温超导磁体的紧凑高场D-T托卡马克概念，目标在小尺寸示范净电输出。	internal:dict-improvements
area-radiation-monitor	en	Fixed gamma/neutron monitor reporting ambient dose rate in plant areas to access-control system.	internal:dict-improvements
area-radiation-monitor	zh	安装在装置区的固定式伽马/中子监测仪，将环境剂量率上报出入控制系统。	internal:dict-improvements
baseball-coil	en	Single coil shaped like a baseball seam producing a quadrupole minimum-B mirror field.	internal:dict-improvements
baseball-coil	zh	形如棒球缝线的单线圈，产生四极最小B位形磁镜场的磁体。	internal:dict-improvements
beam-dump	en	Water- or copper-cooled target absorbing un-neutralized ions or excess beam power downstream of an injector.	internal:dict-improvements
beam-dump	zh	安装于注入器下游的水冷或铜冷靶，吸收未中和离子或多余束功率。	internal:dict-improvements
bus-bar	en	High-current rigid conductor distributing power between converters, magnets, and switchgear.	internal:dict-improvements
bus-bar	zh	在变换器、磁体与开关柜间传输大电流的刚性导体。	internal:dict-improvements
bypass-diode	en	Diode in parallel with magnet section providing alternate current path during quench protection.	internal:dict-improvements
bypass-diode	zh	与磁体段并联的二极管，在失超保护时提供电流旁路。	internal:dict-improvements
c-2u	en	TAE Technologies C-2U FRC device with neutral-beam-driven advanced beam-driven FRC; 2014-2017.	internal:dict-improvements
c-2u	zh	TAE公司C-2U场反位形装置，采用中性束驱动先进束驱动FRC，2014-2017年运行。	internal:dict-improvements
c-2w	en	TAE Technologies C-2W (Norman) upgrade of C-2U with higher injection power and improved confinement.	internal:dict-improvements
c-2w	zh	TAE公司C-2W（Norman），在C-2U基础上提升注入功率并改善约束的升级装置。	internal:dict-improvements
cfetr	en	China Fusion Engineering Test Reactor, planned superconducting tokamak demonstrating fusion engineering and tritium self-sufficiency.	internal:dict-improvements
cfetr	zh	中国聚变工程试验堆，规划中的超导托卡马克，验证聚变工程与氚自持。	internal:dict-improvements
cfetrcoolact	en	BEST device, intermediate-step burning plasma experiment supporting CFETR design.	internal:dict-improvements
cfetrcoolact	zh	BEST装置，CFETR设计的中间步骤燃烧等离子体实验。	internal:dict-improvements
cold-box	en	Vacuum-insulated cryostat housing low-temperature heat exchangers and turbines of a helium refrigeration plant.	internal:dict-improvements
cold-box	zh	真空绝热的低温恒温器，容纳氦制冷装置的低温换热器与膨胀机。	internal:dict-improvements
dense-plasma-focus	en	DPF, coaxial pulsed-power device producing dense pinched plasma at the electrode tip; neutron and X-ray source.	internal:dict-improvements
dense-plasma-focus	zh	同轴脉冲功率装置，在电极末端形成稠密箍缩等离子体，作为中子与X射线源（DPF）。	internal:dict-improvements
direct-energy-converter	en	Device converting kinetic energy of charged fusion products directly into electricity by electrostatic deceleration.	internal:dict-improvements
direct-energy-converter	zh	以静电减速将带电聚变产物动能直接转化为电能的装置。	internal:dict-improvements
dones	en	DEMO-Oriented Neutron Source, accelerator-driven D-Li neutron source for fusion materials qualification (planned at Granada).	internal:dict-improvements
dones	zh	面向DEMO的中子源，加速器驱动D-Li中子源，用于聚变材料鉴定（规划于格拉纳达）。	internal:dict-improvements
dump-resistor	en	Resistor switched into magnet circuit during quench to dissipate stored magnetic energy safely.	internal:dict-improvements
dump-resistor	zh	失超时切入磁体回路安全耗散储能的电阻器。	internal:dict-improvements
ecrh-launcher	en	Mirror-and-waveguide assembly directing ECRH millimeter-wave power into plasma at chosen poloidal/toroidal angle.	internal:dict-improvements
ecrh-launcher	zh	由镜与波导组成的部件，将ECRH毫米波以选定极向/环向角度发射入等离子体。	internal:dict-improvements
eltl	en	EVEDA Lithium Test Loop, IFMIF prototype validating high-velocity liquid-Li target operation.	internal:dict-improvements
eltl	zh	IFMIF的工程验证锂回路，验证高速液锂靶运行。	internal:dict-improvements
emergency-diesel-generator	en	Standby diesel-driven generator providing safety-class power on loss of off-site supply.	internal:dict-improvements
emergency-diesel-generator	zh	失去厂外电源时为安全级负荷供电的备用柴油发电机组。	internal:dict-improvements
enn-compact-fusion	en	ENN compact aneutronic fusion device pursuing p-B11 fueled spherical tokamak/FRC concept.	internal:dict-improvements
enn-compact-fusion	zh	新奥能源面向p-B11的紧凑无中子聚变装置，球形托卡马克/FRC方案。	internal:dict-improvements
enn-cst	en	ENN Compact Spherical Tokamak, low-aspect-ratio device exploring p-B11 path.	internal:dict-improvements
enn-cst	zh	新奥紧凑球形托卡马克，低纵横比装置探索p-B11路线。	internal:dict-improvements
eu-demo	en	European DEMO, post-ITER demonstration fusion power plant concept producing 300-500 MWe net electricity.	internal:dict-improvements
eu-demo	zh	欧洲DEMO，ITER之后的示范聚变电厂概念，输出300-500 MWe净电。	internal:dict-improvements
exl-50	en	EnN-X spherical-tokamak research device studying high-field-side launch and ECRH plasma startup.	internal:dict-improvements
exl-50	zh	ENN-X球形托卡马克研究装置，研究高场侧发射与ECRH启动。	internal:dict-improvements
exl-50u	en	Upgraded version of EXL-50 with extended pulse length and additional auxiliary heating.	internal:dict-improvements
exl-50u	zh	EXL-50升级版，延长脉宽并增加辅助加热。	internal:dict-improvements
field-reversed-configuration	en	FRC, compact toroid with closed magnetic surfaces formed by reversal of axial field; high beta (~1).	internal:dict-improvements
field-reversed-configuration	zh	紧凑环位形，由轴向磁场反转形成闭合磁面，β接近1（FRC）。	internal:dict-improvements
fission-chamber	en	Ionization chamber lined with U-235 or other fissile coating, used for in-core neutron flux monitoring.	internal:dict-improvements
fission-chamber	zh	内壁镀有U-235等易裂变材料的电离室，用于堆内中子通量监测。	internal:dict-improvements
gamma-10	en	GAMMA 10/PDX, tandem-mirror device at University of Tsukuba studying mirror confinement and divertor simulation.	internal:dict-improvements
gamma-10	zh	日本筑波大学GAMMA 10/PDX串列磁镜装置，研究磁镜约束与偏滤器模拟。	internal:dict-improvements
gas-dynamic-trap	en	GDT, axially-symmetric mirror with high mirror ratio operating in collisional regime; Budker Institute.	internal:dict-improvements
gas-dynamic-trap	zh	轴对称高磁镜比磁镜装置，在碰撞主导区运行（GDT，布德克尔研究所）。	internal:dict-improvements
heliac	en	Stellarator variant with helical magnetic axis wound around a central conductor; e.g., H-1NF.	internal:dict-improvements
heliac	zh	磁轴呈螺旋状缠绕中心导体的仿星器变体，如H-1NF。	internal:dict-improvements
helically-symmetric-experiment	en	HSX, quasi-helically-symmetric stellarator at University of Wisconsin demonstrating reduced neoclassical transport.	internal:dict-improvements
helically-symmetric-experiment	zh	准螺旋对称仿星器（HSX，威斯康星大学），验证降低新经典输运。	internal:dict-improvements
helion-trenta	en	Helion Energy seventh-generation FRC fusion device targeting electricity production via direct conversion.	internal:dict-improvements
helion-trenta	zh	Helion Energy第七代FRC聚变装置，目标通过直接转换发电。	internal:dict-improvements
hl-2a	en	Chinese tokamak at Southwestern Institute of Physics studying H-mode and ELM physics.	internal:dict-improvements
hl-2a	zh	中国西南物理研究院托卡马克，研究H模与ELM物理。	internal:dict-improvements
hl-2m	en	HL-2M, upgraded medium-size tokamak at SWIP with higher plasma current and snowflake divertor capability.	internal:dict-improvements
hl-2m	zh	西南物理研究院HL-2M中型托卡马克升级，提升等离子体电流并具备雪花偏滤器能力。	internal:dict-improvements
hot-cathode-ion-gauge	en	Vacuum gauge ionizing residual gas with thermionic electrons; valid 1e-10 to 1e-3 Torr.	internal:dict-improvements
hot-cathode-ion-gauge	zh	以热阴极电子电离残余气体的真空规，量程约1e-10至1e-3 Torr。	internal:dict-improvements
human-machine-interface	en	HMI, operator-facing screens, controls, and alarms for plant supervision.	internal:dict-improvements
human-machine-interface	zh	面向操作员的画面、控制与报警界面，用于装置监控（HMI）。	internal:dict-improvements
icrf-antenna	en	In-vessel antenna structure (strap or 3-strap) coupling ICRF power into plasma at f=20-100 MHz.	internal:dict-improvements
icrf-antenna	zh	安装在真空室内的天线结构（带状或三带状），在20-100 MHz将ICRF功率耦合入等离子体。	internal:dict-improvements
ifmif	en	International Fusion Materials Irradiation Facility, planned accelerator-driven D-Li 14 MeV neutron source.	internal:dict-improvements
ifmif	zh	国际聚变材料辐照装置，规划中的加速器驱动D-Li 14 MeV中子源。	internal:dict-improvements
ioffe-bars	en	Pairs of current-carrying bars added to mirror machines to create quadrupole minimum-B stable configuration.	internal:dict-improvements
ioffe-bars	zh	在磁镜装置上加装的载流棒对，形成四极最小B稳定位形（Ioffe棒）。	internal:dict-improvements
ion-gauge	en	Vacuum gauge measuring pressure via ion current produced by ionizing collisions; covers high-vacuum regime.	internal:dict-improvements
ion-gauge	zh	利用电离碰撞产生离子流测量压力的真空计，覆盖高真空区。	internal:dict-improvements
ionization-chamber	en	Gas-filled detector measuring ionization current proportional to incident radiation dose rate.	internal:dict-improvements
ionization-chamber	zh	充气探测器，电离电流与入射辐射剂量率成正比。	internal:dict-improvements
k-demo	en	Korean DEMO concept, post-ITER fusion power plant under design at NFRI.	internal:dict-improvements
k-demo	zh	韩国DEMO概念，由韩国核聚变研究所(NFRI)设计的ITER之后聚变电厂。	internal:dict-improvements
klystron	en	Linear-beam vacuum-tube amplifier producing high-power microwaves; used for LHCD and accelerator drive.	internal:dict-improvements
klystron	zh	线性束真空管放大器，产生高功率微波，用于LHCD与加速器驱动。	internal:dict-improvements
kmax	en	Keda Mirror with AXisymmetricity, USTC tandem-mirror device for plasma physics studies.	internal:dict-improvements
kmax	zh	中科大KMAX轴对称磁镜装置，用于等离子体物理研究。	internal:dict-improvements
large-helical-device	en	LHD, NIFS Japan superconducting heliotron with R=3.9 m, world's largest stellarator-class device.	internal:dict-improvements
large-helical-device	zh	日本NIFS的大型螺旋装置（R=3.9 m），世界最大仿星器类装置。	internal:dict-improvements
laser-megajoule	en	LMJ, French CEA inertial-confinement laser facility comparable in scale to NIF.	internal:dict-improvements
laser-megajoule	zh	法国CEA的兆焦耳激光惯性约束装置，规模与NIF相当（LMJ）。	internal:dict-improvements
lipac	en	Linear IFMIF Prototype Accelerator at Rokkasho, validating IFMIF deuteron accelerator design at 9 MeV.	internal:dict-improvements
lipac	zh	日本六所村IFMIF原型加速器，验证IFMIF氘加速器设计达到9 MeV（LIPAc）。	internal:dict-improvements
magnetron-injection-gun	en	MIG, electron gun in gyrotron producing hollow rotating beam matched to RF cavity.	internal:dict-improvements
magnetron-injection-gun	zh	回旋管中的电子枪，产生与RF谐振腔匹配的空心旋转电子束（MIG）。	internal:dict-improvements
mast-u	en	MAST Upgrade, UK CCFE spherical tokamak studying super-X divertor and ST physics.	internal:dict-improvements
mast-u	zh	英国CCFE的MAST升级球形托卡马克，研究super-X偏滤器与ST物理。	internal:dict-improvements
master-slave-manipulator	en	Tele-operated manipulator pair where operator-side master controls remote slave for hot-cell or in-vessel work.	internal:dict-improvements
master-slave-manipulator	zh	遥操作机械手对，操作员侧主臂控制远端从臂用于热室或真空室内作业。	internal:dict-improvements
metal-hydride-bed	en	Vessel filled with hydride-forming metal (U, ZrCo, depleted Pd) for tritium storage and delivery.	internal:dict-improvements
metal-hydride-bed	zh	装填可形成氢化物金属（U、ZrCo、贫Pd）的容器，用于氚的贮存与供给。	internal:dict-improvements
motor-generator	en	Rotating machine pair providing pulsed power to magnets via stored kinetic energy in flywheel.	internal:dict-improvements
motor-generator	zh	旋转电机组通过飞轮储能向磁体提供脉冲功率。	internal:dict-improvements
ncsx	en	National Compact Stellarator Experiment, cancelled PPPL stellarator project (2008).	internal:dict-improvements
ncsx	zh	美国PPPL紧凑仿星器项目，于2008年取消（NCSX）。	internal:dict-improvements
neutralizer	en	Gas-cell or plasma neutralizer converting accelerated ions to neutrals via charge exchange.	internal:dict-improvements
neutralizer	zh	由气体单元或等离子体构成的中和器，通过电荷交换将加速离子转化为中性粒子。	internal:dict-improvements
neutron-source	en	Device producing free neutrons via fusion, fission, spallation, or radioactive decay reactions.	internal:dict-improvements
neutron-source	zh	通过聚变、裂变、散裂或放射性衰变产生自由中子的装置。	internal:dict-improvements
nif	en	National Ignition Facility at LLNL, 192-beam laser ICF facility achieving target ignition in December 2022.	internal:dict-improvements
nif	zh	劳伦斯利弗莫尔国家实验室192束激光ICF装置，2022年12月实现靶点火（NIF）。	internal:dict-improvements
omega	en	OMEGA laser facility at University of Rochester LLE, 60-beam direct-drive ICF research laser.	internal:dict-improvements
omega	zh	罗彻斯特大学激光能学实验室60束直接驱动ICF研究激光装置（OMEGA）。	internal:dict-improvements
palladium-membrane-reactor	en	Reactor combining palladium-membrane separator with catalyst bed for compact tritium recovery and isotope swap.	internal:dict-improvements
palladium-membrane-reactor	zh	将钯膜分离器与催化床合一的反应器，用于紧凑氚回收与同位素交换。	internal:dict-improvements
penning-gauge	en	Cold-cathode ionization gauge with crossed E and B fields, robust for industrial vacuum monitoring.	internal:dict-improvements
penning-gauge	zh	冷阴极电离规，采用交叉电磁场，适合工业真空监测（潘宁规）。	internal:dict-improvements
personal-dosimeter	en	Worn device measuring individual external radiation dose; TLD, OSL, or electronic types.	internal:dict-improvements
personal-dosimeter	zh	工作人员佩戴的外照射剂量测量装置，包括TLD、OSL或电子式。	internal:dict-improvements
programmable-logic-controller	en	PLC, industrial digital controller for plant automation with deterministic ladder-logic execution.	internal:dict-improvements
programmable-logic-controller	zh	PLC，用于装置自动化的工业数字控制器，采用确定性梯形图执行。	internal:dict-improvements
residual-ion-dump	en	Magnetically deflected dump downstream of NBI neutralizer collecting un-neutralized ions before injection into plasma.	internal:dict-improvements
residual-ion-dump	zh	安装于中性束中和器下游、磁偏转将未中和离子在注入等离子体前收集的束流靶。	internal:dict-improvements
rexie	en	Reflex-discharge plasma device studying basic plasma instabilities at controlled boundary conditions.	internal:dict-improvements
rexie	zh	反射放电等离子体装置，研究受控边界条件下的基础等离子体不稳定性（REXIE）。	internal:dict-improvements
rfx-mod	en	RFX-mod, Italian RFP device at Padua exploring quasi-single-helicity states; upgrade RFX-mod2 in commissioning.	internal:dict-improvements
rfx-mod	zh	意大利帕多瓦RFX-mod反场箍缩装置，研究准单螺旋态；升级版RFX-mod2正在调试。	internal:dict-improvements
scintillation-detector	en	Radiation detector using light flashes from scintillator coupled to photomultiplier or SiPM.	internal:dict-improvements
scintillation-detector	zh	利用闪烁体发出光子并耦合至光电倍增管或SiPM的辐射探测器。	internal:dict-improvements
sg-iii	en	Shenguang-III, Chinese ICF laser driver with 48 beams at LFRC Mianyang.	internal:dict-improvements
sg-iii	zh	中国神光三号ICF激光驱动器，48束（位于绵阳LFRC）。	internal:dict-improvements
sparc	en	Compact high-field DT tokamak by Commonwealth Fusion Systems and MIT, target Q>2 in mid-2020s.	internal:dict-improvements
sparc	zh	英联邦聚变系统(CFS)与MIT合作的紧凑高场D-T托卡马克，目标在2020年代中期实现Q>2。	internal:dict-improvements
sspx	en	Sustained Spheromak Physics Experiment at LLNL, helicity-injection-sustained spheromak (1999-2009).	internal:dict-improvements
sspx	zh	LLNL持续球马克物理实验，由螺旋度注入维持（1999-2009年）（SSPX）。	internal:dict-improvements
start-device	en	Small Tight Aspect Ratio Tokamak at Culham, first ST demonstrating high beta_t (>40%) and modern ST research.	internal:dict-improvements
