# alias	preferred	status	lang	note
拟螺旋对称	准螺旋对称	deprecated	zh	非标准：应为 准螺旋对称
拟轴对称	准轴对称	deprecated	zh	非标准：应为 准轴对称
捕获电子模	俘获电子模	deprecated	zh	用字非标准：应为 俘获电子模
捕获电子模式	俘获电子模	deprecated	zh	非标准：应为 俘获电子模
捕集器床	吸气剂床	forbidden	zh	误译getter(吸气剂≠捕集器)：正确为 吸气剂床
排放处理系统	托卡马克排气处理系统	forbidden	zh	误译exhaust(排气≠排放)：正确为 托卡马克排气处理系统
排热	功率排出	deprecated	zh	过度缩略：应为 功率排出
掠食者-猎物振荡	捕食-被捕食振荡	forbidden	zh	误译：正确为 捕食-被捕食振荡
接触模式	贴靠模式	forbidden	zh	误译attached：正确为 贴靠模式
接触辐射率	接触剂量率	forbidden	zh	误译dose rate：正确为 接触剂量率
提示再沉积	即时再沉积	forbidden	zh	AI误译prompt(即时≠提示)：正确为 即时再沉积
摩擦力量	摩擦力	forbidden	zh	冗赘force(力≠力量)：正确为 摩擦力
撕裂模式	撕裂模	deprecated	zh	非标准，应为"撕裂模"
撞击点	打击点	deprecated	zh	非标准变体：应为 打击点
擦除层	刮削层	forbidden	zh	误译：正确为 刮削层
收敛率	收敛比	forbidden	zh	混淆ratio与rate：正确为 收敛比
收缩参数	箍缩参数	forbidden	zh	误译pinch(箍缩≠收缩)：正确为 箍缩参数
放射偏滤器	辐射偏滤器	forbidden	zh	误译radiative(辐射≠放射)：正确为 辐射偏滤器
放射分流器	辐射偏滤器	forbidden	zh	AI误译radiative+divertor：正确为 辐射偏滤器
放射性废料	放射性废物	deprecated	zh	规范为"放射性废物"
放射损伤	辐照损伤	forbidden	zh	误译radiation(辐照≠放射)：正确为 辐照损伤
放射防护	辐射防护	deprecated	zh	非标准(辐射≠放射)：应为 辐射防护
放气	出气	deprecated	zh	非标准：应为 出气
散热器	热沉	forbidden	zh	误译heat sink：IT义，聚变应为 热沉
散热片	热沉	forbidden	zh	误译heat sink：IT义，聚变应为 热沉
数字双胞胎	数字孪生	forbidden	zh	误译twin：正确为 数字孪生
数据驱动调控	数据驱动控制	forbidden	zh	误译control：正确为 数据驱动控制
整体Alfvén本征模	全局Alfvén本征模	forbidden	zh	误译global(全局≠整体)：正确为 全局Alfvén本征模
整体投运	综合调试	forbidden	zh	误译commissioning：正确为 综合调试
斑点传输	团块输运	forbidden	zh	误译blob+transport：正确为 团块输运
断裂强度	断裂韧性	forbidden	zh	误译toughness(韧性≠强度)：正确为 断裂韧性
断裂韧度	断裂韧性	deprecated	zh	非推荐：应为 断裂韧性
斯塔克增宽	斯塔克展宽	forbidden	zh	误译broadening：正确为 斯塔克展宽
斯帕克	SPARC	forbidden	zh	误音译(装置名应保留 SPARC)
斯皮泽电阻率	斯皮策电阻率	deprecated	zh	音译变体：应为 斯皮策电阻率
新古典撕裂模	新经典撕裂模	forbidden	zh	误译neoclassical：正确为 新经典撕裂模
新古典杂质传输	新经典杂质输运	forbidden	zh	误译neoclassical+transport：正确为 新经典杂质输运
新古典杂质输运	新经典杂质输运	forbidden	zh	误译neoclassical(新经典≠新古典)：正确为 新经典杂质输运
新古典环向粘滞	新经典环向粘滞	forbidden	zh	误译neoclassical：正确为 新经典环向粘滞
新古典输运	新经典输运	forbidden	zh	误译neoclassical：正确为 新经典输运
新型经典输运	新经典输运	forbidden	zh	误译neoclassical：正确为 新经典输运
新经典传输	新经典输运	forbidden	zh	误译transport：正确为 新经典输运
新经典撕裂模式	新经典撕裂模	deprecated	zh	非标准，应为"新经典撕裂模"
新经典环向粘性	新经典环向粘滞	deprecated	zh	非标准：应为 新经典环向粘滞
新经典环形粘滞	新经典环向粘滞	forbidden	zh	误译toroidal：正确为 新经典环向粘滞
方差减少	方差缩减	forbidden	zh	误译reduction：正确为 方差缩减
方差降低	方差缩减	forbidden	zh	误译reduction：正确为 方差缩减
施工时间表	建造进度	forbidden	zh	误译construction+schedule：正确为 建造进度
旅行波直接能量转换器	行波直接能量转换器	forbidden	zh	误译traveling(行波≠旅行波)：正确为 行波直接能量转换器
旋回波姆标度	旋回Bohm标度	forbidden	zh	误音译Bohm(玻姆≠波姆)：正确为 旋回玻姆标度
旋回玻尔姆标度	旋回Bohm标度	forbidden	zh	误音译Bohm(玻姆≠玻尔姆)：正确为 旋回玻姆标度
旋转不稳定	旋转不稳定性	deprecated	zh	缺字'性'：应为 旋转不稳定性
旋转倒置	旋转反转	forbidden	zh	误译reversal：正确为 旋转反转
旋转动理学模拟	回旋动理学模拟	forbidden	zh	旋转=rotation, not gyro
旋转变形	旋转变换	forbidden	zh	误译：正确为 旋转变换
旋转管	回旋管	forbidden	zh	误译gyro：正确为 回旋管
旋转转换	旋转变换	deprecated	zh	非标准：应为 旋转变换
旋转逆转	旋转反转	deprecated	zh	非标准：应为 旋转反转
旋转频率	回旋频率	forbidden	zh	误译cyclotron(回旋≠旋转)：正确为 回旋频率
旋进漂移	进动漂移	deprecated	zh	非标准：应为 进动漂移
无中子融合	无中子聚变	forbidden	zh	误用日语'融合'：正确为 无中子聚变
无外力平衡	无力平衡	forbidden	zh	误译force-free：正确为 无力平衡
星器	仿星器	forbidden	zh	误译：正确为 仿星器
星辰器	仿星器	forbidden	zh	误译stellarator：正确为 仿星器
普费尔施-施吕特区	Pfirsch-Schlüter区	forbidden	zh	误音译人名：正确保留 Pfirsch-Schlüter区
普费尔施-施吕特电流	Pfirsch-Schlüter电流	forbidden	zh	误音译人名：正确保留 Pfirsch-Schlüter电流
普通氢	氕	forbidden	zh	误译protium：正确为 氕
晶粒界	晶界	deprecated	zh	非标准缩略：应为 晶界
晶粒边界	晶界	deprecated	zh	啰嗦：应为 晶界
晶间边界	晶界	forbidden	zh	误译grain boundary(晶界≠晶间边界)：正确为 晶界
曲率偏移	曲率漂移	forbidden	zh	误译drift：正确为 曲率漂移
替代模型	代理模型	forbidden	zh	误译surrogate：正确为 代理模型
替换不稳定性	交换不稳定性	forbidden	zh	误译interchange：正确为 交换不稳定性
最佳	BEST	forbidden	zh	AI mistranslates BEST as adjective
最后安全分析报告	最终安全分析报告	forbidden	zh	误译final：正确为 最终安全分析报告
最大可能事故	最大可信事故	forbidden	zh	误译credible：正确为 最大可信事故
最终拉力强度	极限抗拉强度	forbidden	zh	AI误译ultimate+tensile：正确为 极限抗拉强度
有效的剂量	有效剂量	forbidden	zh	语法错：正确为 有效剂量
有限元素方法	有限元方法	forbidden	zh	误译element(元≠元素)：正确为 有限元方法
有限容积法	有限体积法	deprecated	zh	非标准(体积≠容积)：应为 有限体积法
朗金循环	朗肯循环	forbidden	zh	音译错：正确为 朗肯循环
机器学习中断预测	机器学习破裂预测	forbidden	zh	误译disruption：正确为 机器学习破裂预测
杂质传输	杂质输运	deprecated	zh	非标准：应为 杂质输运
杂质光谱学	杂质光谱	deprecated	zh	非标准：应为 杂质光谱
杂质光谱术	杂质光谱	deprecated	zh	非标准(光谱学≠光谱术)：应为 杂质光谱学
杂质分光	杂质光谱	forbidden	zh	误译spectroscopy(光谱学≠分光)：正确为 杂质光谱学
杂质堆积	杂质积聚	deprecated	zh	非标准：应为 杂质积聚
杂质审查	杂质屏蔽	forbidden	zh	AI误译screening(屏蔽≠审查)：正确为 杂质屏蔽
杂质播撒	杂质注入	forbidden	zh	误译seeding：正确为 杂质注入
杂质播种	杂质注入	forbidden	zh	误译seeding：正确为 杂质注入
杂质来源	杂质源	forbidden	zh	误译source(源≠来源)：正确为 杂质源
杂质涌入	杂质流入	forbidden	zh	误译influx：正确为 杂质流入
杂质源头	杂质源	forbidden	zh	口语化：正确为 杂质源
杂质滤除	杂质屏蔽	forbidden	zh	误译screening(屏蔽≠滤除)：正确为 杂质屏蔽
杂质积累	杂质积聚	deprecated	zh	非标准：应为 杂质积聚
杂质筛选	杂质屏蔽	forbidden	zh	误译screening(屏蔽≠筛选)：正确为 杂质屏蔽
杂质起源	杂质源	forbidden	zh	误译source(源≠起源)：正确为 杂质源
杂质运输	杂质输运	forbidden	zh	误译transport：聚变应为 杂质输运
权重窗口	权窗	forbidden	zh	误译：正确为 权窗
材料移动	材料迁移	forbidden	zh	误译migration(迁移≠移动)：正确为 材料迁移
材料移行	材料迁移	forbidden	zh	误译migration(迁移≠移行)：正确为 材料迁移
材料转移	材料迁移	forbidden	zh	误译migration(迁移≠转移)：正确为 材料迁移
束目标聚变	束靶聚变	forbidden	zh	误译target：正确为 束靶聚变
束辐射光谱	束发射光谱	forbidden	zh	误译emission：正确为 束发射光谱
杨模量	杨氏模量	forbidden	zh	缺"氏"字：正确为 杨氏模量
极化磁场	极向磁场	forbidden	zh	误译poloidal：正确为 极向磁场
极向贝塔	极向比压	forbidden	zh	误音译beta：正确为 极向比压
极端拉伸强度	极限抗拉强度	forbidden	zh	AI误译ultimate(极限≠极端)：正确为 极限抗拉强度
极面不对称	极向不对称性	forbidden	zh	误译poloidal(极向≠极面)：正确为 极向不对称性
柔软X射线	软X射线	forbidden	zh	误译soft(物理义)：正确为 软X射线
查比冲击	夏比冲击	forbidden	zh	译名错(Charpy=夏比≠查比)：正确为 夏比冲击
标准化成本	平准化成本	forbidden	zh	误译levelized：正确为 平准化成本
标度率	约束标度律	forbidden	zh	误译law(律≠率)：正确为 标度律
核加热	核热	deprecated	zh	啰嗦：应为 核热
核反应函数	核响应函数	forbidden	zh	误译response≠reaction：正确为 核响应函数
核变换	嬗变	forbidden	zh	误译transmutation：正确为 嬗变
核废料	放射性废物	deprecated	zh	应使用"放射性废物"或具体分类
核数据图书馆	核数据库	forbidden	zh	误译library：正确为 核数据库
核裂变产率	裂变产额	forbidden	zh	误译yield(产额≠产率)：正确为 裂变产额
核转变	嬗变	forbidden	zh	非标准：正确为 嬗变
格拉德-沙弗拉诺夫方程	Grad-Shafranov方程	forbidden	zh	误音译人名：正确保留 Grad-Shafranov方程
格林沃尔德分数	Greenwald份额	forbidden	zh	误音译人名：正确保留 Greenwald份额
格林沃尔德限值	格林沃尔德密度	deprecated	zh	混淆density与limit：应为 格林沃尔德密度
桶系统	转运容器	forbidden	zh	误译cask：正确为 转运容器
梯度B偏移	∇B漂移	forbidden	zh	误译drift：正确为 梯度B漂移
植入射程	注入射程	forbidden	zh	误译implantation(注入≠植入)：正确为 注入射程
楼梯输运	阶梯输运	forbidden	zh	误译staircase：正确为 阶梯输运
模块线圈	模块化线圈	deprecated	zh	缺字'化'：应为 模块化线圈
模型预判控制	模型预测控制	forbidden	zh	误译predictive：正确为 模型预测控制
模态转换	模式转换	forbidden	zh	误译mode：聚变应为 模式转换
横截面	截面	forbidden	zh	误译(几何义)：核物理应为 截面
横断面	截面	forbidden	zh	误译(几何义)：核物理应为 截面
次临界紊流	亚临界湍流	forbidden	zh	双误(次临界+紊流)：正确为 亚临界湍流
次级回路	二回路	forbidden	zh	误译secondary：正确为 二回路
欧洲融合组织	欧洲聚变能组织	forbidden	zh	误译fusion：正确为 欧洲聚变能组织
欧洲铁素体钢	EUROFER	forbidden	zh	误展开缩写：正确为 EUROFER钢
欧米伽	OMEGA	forbidden	zh	wrong transliteration of facility name
步骤	STEP	forbidden	zh	误混同名词(装置名应保留 STEP)
残余压力	残余应力	forbidden	zh	误译stress(应力≠压力)：正确为 残余应力
残余热	衰变热	forbidden	zh	非标准：正确为 余热/衰变热
残留应力	残余应力	deprecated	zh	非标准(残余≠残留)：应为 残余应力
每原子位移	离位损伤	forbidden	zh	直译acronym：正确为 离位损伤(dpa)
毛侵蚀	总侵蚀	forbidden	zh	误译gross(总≠毛)：正确为 总侵蚀
毛电功率	总电功率	forbidden	zh	误译gross：正确为 总电功率
毯子	包层	forbidden	zh	误译blanket：正确为 包层
毯层	包层	forbidden	zh	误译blanket：正确为 包层
毯模块	包层模块	forbidden	zh	误译blanket：正确为 包层模块
气体产生率	气体产额	forbidden	zh	误译：正确为 气体产额
气体吹入	充气	forbidden	zh	误译puffing：正确为 充气
气体喷射	充气	forbidden	zh	误译puffing：正确为 充气
气体注入阀	进气阀	forbidden	zh	误译：正确为 进气阀
气体涡轮	燃气轮机	forbidden	zh	误译gas+turbine：正确为 燃气轮机
气体涡轮机	燃气轮机	forbidden	zh	误译gas+turbine：正确为 燃气轮机
气体生产率	气体产额	forbidden	zh	误译production：正确为 气体产额
气压驱动模	压力驱动模	forbidden	zh	误译pressure(压力≠气压)：正确为 压力驱动模
气态平衡	气体平衡	forbidden	zh	误译gas(气体≠气态)：正确为 气体平衡
气泡化	起泡	forbidden	zh	误译blistering：正确为 起泡
气泡输运	团块输运	forbidden	zh	误译blob：正确为 团块输运
气球模式	气球模	deprecated	zh	非标准：应为 气球模
氘-氘反应	D-D反应	deprecated	zh	缩写场景应保留 D-D反应
氘-氚反应	D-T反应	deprecated	zh	缩写场景应保留 D-T反应
氘-氦3反应	D-³He反应	deprecated	zh	缺上标：应保留 D-³He反应
氚产率	氚增殖比	forbidden	zh	误译：正确为 氚增殖比
氚仓储	氚储存	forbidden	zh	误译storage(储存≠仓储)：正确为 氚储存
氚会计	氚衡算	forbidden	zh	误译accountancy：正确为 氚衡算
氚会计区域	氚衡算区域	forbidden	zh	AI误译accounting(衡算≠会计)：正确为 氚衡算区域
氚保存	氚储存	forbidden	zh	误译storage(储存≠保存)：正确为 氚储存
氚保留	氚滞留	forbidden	zh	误译retention：正确为 氚滞留
氚加工	氚处理	forbidden	zh	误译processing(处理≠加工)：正确为 氚处理
氚厂	氚工厂	deprecated	zh	缩略非标准：应为 氚工厂
氚去除	氚滞留清除	forbidden	zh	误译：缺'滞留'，正确为 氚滞留清除
氚发布	氚释放	forbidden	zh	AI误译release(释放≠发布)：正确为 氚释放
氚启动库存	氚启动存量	forbidden	zh	误译inventory：正确为 氚启动存量
氚培育比	氚增殖比	forbidden	zh	误译breeding：正确为 氚增殖比
氚增殖余量	氚增殖裕度	deprecated	zh	非标准(裕度≠余量)：应为 氚增殖裕度
氚增殖边际	氚增殖裕度	forbidden	zh	AI误译margin(裕度≠边际)：正确为 氚增殖裕度
氚复原	氚回收	forbidden	zh	误译recovery(回收≠复原)：正确为 氚回收
氚大楼	氚厂房	forbidden	zh	AI误译building(厂房≠大楼)：正确为 氚厂房
氚存储	氚储存	deprecated	zh	非标准：应为 氚储存
氚工艺	氚处理	forbidden	zh	误译processing(处理≠工艺)：正确为 氚处理
氚库存	氚存量	forbidden	zh	误译inventory：聚变应为 氚存量
氚建筑	氚厂房	forbidden	zh	AI误译building(厂房≠建筑)：正确为 氚厂房
氚恢复	氚回收	forbidden	zh	误译recovery(回收≠恢复)：正确为 氚回收
氚承运体	氚载体	forbidden	zh	AI误译carrier(载体≠承运体)：正确为 氚载体
氚排放	氚释放	deprecated	zh	非标准(释放≠排放)：应为 氚释放
氚携带者	氚载体	forbidden	zh	AI误译carrier(载体≠携带者)：正确为 氚载体
氚收集	氚回收	forbidden	zh	误译recovery(回收≠收集)：正确为 氚回收
氚核算	氚衡算	forbidden	zh	误译accountancy：正确为 氚衡算
氚核算区域	氚衡算区域	deprecated	zh	非标准(衡算≠核算)：应为 氚衡算区域
氚植物	氚工厂	forbidden	zh	AI误译plant(工厂≠植物)：正确为 氚工厂
氚残留	氚滞留	deprecated	zh	非标准：应为 氚滞留
氚清单	氚存量	forbidden	zh	inventory(清单义)误用：正确为 氚存量
氚渗透屏障	氚渗透阻挡层	deprecated	zh	非标准：应为 氚渗透阻挡层
氚渗透阻碍层	氚渗透阻挡层	forbidden	zh	用字错：正确为 氚渗透阻挡层
氚盘存	氚存量	forbidden	zh	误译inventory：正确为 氚存量
氚种植	氚工厂	forbidden	zh	AI误译plant(工厂≠种植)：正确为 氚工厂
氚繁殖比	氚增殖比	forbidden	zh	误译breeding：正确为 氚增殖比
氚繁殖率	氚增殖比	forbidden	zh	误译breeding：正确为 氚增殖比
氚繁殖裕度	氚增殖裕度	forbidden	zh	误译breeding(增殖≠繁殖)：正确为 氚增殖裕度
氚育种裕度	氚增殖裕度	forbidden	zh	误译breeding(增殖≠育种)：正确为 氚增殖裕度
氚自给自足	氚自持	forbidden	zh	误译：聚变术语应为 氚自持
氚自足	氚自持	forbidden	zh	误译：聚变术语应为 氚自持
氚账户区域	氚衡算区域	forbidden	zh	AI误译accounting(衡算≠账户)：正确为 氚衡算区域
氚运载体	氚载体	forbidden	zh	AI误译carrier(载体≠运载体)：正确为 氚载体
氚阻挡层	氚渗透阻挡层	deprecated	zh	过简：应为 氚渗透阻挡层
氚阻挡涂层	氚渗透阻挡层	deprecated	zh	不精确(涂层⊂阻挡层)：应为 氚渗透阻挡层
氚阻隔层	氚渗透阻挡层	forbidden	zh	非标准：正确为 氚渗透阻挡层
氢困住	氢捕获	forbidden	zh	AI误译trapping(捕获≠困住)：正确为 氢捕获
氢截留	氢捕获	forbidden	zh	误译trapping(捕获≠截留)：正确为 氢捕获
氢气同位素	氢同位素	forbidden	zh	误译hydrogen(氢≠氢气)：正确为 氢同位素
氢气安全	氢安全	deprecated	zh	非标准：应为 氢安全
氢的同位素	氢同位素	deprecated	zh	非标准：应为 氢同位素
氢脆化	氢脆	forbidden	zh	误译(氢脆≠氢脆化,多余化字)：正确为 氢脆
氢脆性	氢脆	forbidden	zh	误译(氢脆≠氢脆性,脆性≠脆化现象)：正确为 氢脆
氢致脆性	氢脆	forbidden	zh	误译(氢脆≠氢致脆性)：正确为 氢脆
氢陷阱	氢捕获	deprecated	zh	指物理实体(trap site)而非过程(trapping)
氦冷剂	氦冷却剂	deprecated	zh	非标准缩略(冷却剂≠冷剂)：应为 氦冷却剂
氦冷却	氦冷	deprecated	zh	冗余：应为 氦冷
氦冷液态铅锂包层	氦冷锂铅包层	forbidden	zh	冗译+顺序倒：正确为 氦冷锂铅包层
氦冷陶瓷包层	氦冷固态包层	forbidden	zh	混淆HCCB/WCCB：正确为 氦冷固态包层
氦冷鹅卵石床包层	氦冷球床包层	forbidden	zh	误译pebble bed(球床≠鹅卵石床)：正确为 氦冷球床包层
氦制冷剂	氦冷却剂	forbidden	zh	误译coolant(冷却剂≠制冷剂)：正确为 氦冷却剂
氦康波	螺旋波	forbidden	zh	误音译helicon：正确为 螺旋波
氦气产生	氦产生	forbidden	zh	'气'多余(材料语境)：正确为 氦产生
氦气气泡	氦泡	forbidden	zh	啰嗦：正确为 氦泡
氦气泡	氦泡	deprecated	zh	非标准：应为 氦泡
氦气泡沫	氦泡	forbidden	zh	误译bubble(泡≠泡沫)：正确为 氦泡
氦灰去除	氦灰排出	forbidden	zh	误译removal(排出≠去除)：正确为 氦灰排出
氦灰清除	氦灰排出	forbidden	zh	误译removal(排出≠清除)：正确为 氦灰排出
氦灰烬	氦灰排出	forbidden	zh	误译ash(氦灰≠灰烬)：正确为 氦灰排出
氦灰烬排出	氦灰排出	forbidden	zh	误译ash(氦灰≠灰烬)：正确为 氦灰排出
氦灰移除	氦灰排出	forbidden	zh	误译removal(排出≠移除)：正确为 氦灰排出
氦生产	氦产生	forbidden	zh	误混制造义：正确为 氦产生
氦生成率	氦产生	forbidden	zh	混淆产生(过程)与产率(rate)：正确为 氦产生
氦脆化	氦脆	deprecated	zh	啰嗦：应为 氦脆
氦致脆化	氦脆	deprecated	zh	非标准：应为 氦脆
氦鼓泡	氦泡	forbidden	zh	与blistering混淆：正确为 氦泡
氧化物分散钢	氧化物弥散强化钢	forbidden	zh	误译dispersion：正确为 氧化物弥散强化钢
氮播种	氮注入	forbidden	zh	误译seeding(注入≠播种)：正确为 氮注入
氮气注射	氮注入	forbidden	zh	误译seeding(注入≠注射)+气多余：正确为 氮注入
氮种子	氮注入	forbidden	zh	误译seeding(注入≠种子)：正确为 氮注入
水冷却	水冷	deprecated	zh	冗余：应为 水冷
水冷却液	水冷却剂	forbidden	zh	误译coolant(冷却剂≠冷却液)：正确为 水冷却剂
水冷固态包层	水冷陶瓷包层	forbidden	zh	混淆WCCB/HCCB：正确为 水冷陶瓷包层
水冷铅锂包层	水冷锂铅包层	forbidden	zh	wrong order: 锂铅 not 铅锂
水制冷剂	水冷却剂	forbidden	zh	误译coolant(冷却剂≠制冷剂)：正确为 水冷却剂
水去氚化系统	水除氚系统	forbidden	zh	非标准：正确为 水除氚系统
水去氚系统	水除氚系统	deprecated	zh	非标准：应为 水除氚系统
水处理	水处理系统	deprecated	zh	缺字'系统'：应为 水处理系统
水平化成本	平准化成本	forbidden	zh	误译levelized：正确为 平准化成本
水泡	起泡	forbidden	zh	误译blistering：正确为 起泡
水脱氚系统	水除氚系统	deprecated	zh	非标准变体：应为 水除氚系统
汇聚比	收敛比	forbidden	zh	误译convergence：正确为 收敛比
汤姆森散射	Thomson scattering	deprecated	zh	音译变体：应为 汤姆逊散射
汤普逊散射	Thomson scattering	forbidden	zh	音译错(Thompson≠Thomson)：正确为 汤姆逊散射
沉淀	沉积	forbidden	zh	误混化学义：正确为 沉积
沙弗拉诺夫偏移	沙弗拉诺夫位移	forbidden	zh	误译shift：正确为 沙弗拉诺夫位移
沾湿面积	湿润面积	forbidden	zh	误译wetted(湿润≠沾湿)：正确为 湿润面积
法拉弟旋转	法拉第旋转	forbidden	zh	误音译Faraday(法拉第≠法拉弟)：正确为 法拉第旋转
法拉第偏转	法拉第旋转	forbidden	zh	误译rotation(旋转≠偏转)：正确为 法拉第旋转
法拉第回转	法拉第旋转	forbidden	zh	误译rotation(旋转≠回转)：正确为 法拉第旋转
法拉第屏幕	法拉第屏	forbidden	zh	误译screen：正确为 法拉第屏
法拉第转动	法拉第旋转	forbidden	zh	误译rotation(旋转≠转动)：正确为 法拉第旋转
法规框架	监管框架	deprecated	zh	非标准：应为 监管框架
波加热	射频加热	deprecated	zh	笼统化：应为 射频加热
波吸附	波吸收	forbidden	zh	误译absorption：正确为 波吸收
波姆扩散	玻姆扩散	deprecated	zh	音译变体：应为 玻姆扩散
波导管	波导	deprecated	zh	非标准(冗赘)：应为 波导
波浪等离子体相互作用	波等离子体相互作用	forbidden	zh	误译wave(波≠波浪)：正确为 波等离子体相互作用
波等离子交互	波等离子体相互作用	forbidden	zh	双误(缺'体'+交互)：正确为 波等离子体相互作用
波等离子体互动	波等离子体相互作用	forbidden	zh	误译interaction(相互作用≠互动)：正确为 波等离子体相互作用
波等离子体交互作用	波等离子体相互作用	forbidden	zh	误译interaction(相互作用≠交互作用)：正确为 波等离子体相互作用
注入深度	注入射程	forbidden	zh	误译range(射程≠深度)：正确为 注入射程
注入范围	注入射程	forbidden	zh	误译range(射程≠范围)：正确为 注入射程
注气	充气	deprecated	zh	非标准变体：应为 充气
注量率	注量	forbidden	zh	注量率=fluence rate(不同物理量)：注量=时间积分
泰勒弛豫	Taylor弛豫	forbidden	zh	误音译Taylor：正确保留 Taylor弛豫
泰勒态	Taylor态	forbidden	zh	误音译Taylor：正确保留 Taylor态
泰勒放松	Taylor弛豫	forbidden	zh	误音译+误译relaxation：正确保留 Taylor弛豫
泰勒状态	Taylor态	forbidden	zh	误音译Taylor：正确保留 Taylor态
流加速腐蚀	流动加速腐蚀	deprecated	zh	缺"动"字：应为 流动加速腐蚀
流量丧失事故	失流事故	deprecated	zh	啰嗦：应为 失流事故
流量加速腐蚀	流动加速腐蚀	forbidden	zh	误译flow(流动≠流量)：正确为 流动加速腐蚀
流驱动模	电流驱动模	forbidden	zh	误缩写：正确为 电流驱动模
测地声学模	测地声模	deprecated	zh	非标准：应为 测地声模
测地声模式	测地声模	deprecated	zh	非标准：应为 测地声模
测试包层模块	实验包层模块	forbidden	zh	误译test+blanket：正确为 产氚模块
海伦娜	HELENA	forbidden	zh	AI translates code name as person name
浸湿面积	湿润面积	forbidden	zh	误译wetted(湿润≠浸湿)：正确为 湿润面积
涂层侵蚀	涂层退化	deprecated	zh	非标准：应为 涂层退化
消融前沿	烧蚀前沿	forbidden	zh	误译ablation：正确为 烧蚀前沿
消融器	烧蚀层	forbidden	zh	误译ablator：正确为 烧蚀层
消融层	烧蚀层	forbidden	zh	误译ablation：正确为 烧蚀层
涡流管	旋流管	forbidden	zh	误译swirl：正确为 旋流管
涡电流	涡流	deprecated	zh	非标准：应为 涡流
涡轮泵	涡轮分子泵	deprecated	zh	缺"分子"：应为 涡轮分子泵
润湿面积	湿润面积	deprecated	zh	语序：应为 湿润面积
液体金属偏滤器	液态金属偏滤器	forbidden	zh	误译liquid：正确为 液态金属偏滤器
液体金属冷却剂	液态金属冷却剂	forbidden	zh	误译liquid：正确为 液态金属冷却剂
液态金属分流器	液态金属偏滤器	forbidden	zh	误译divertor(偏滤器≠分流器)：正确为 液态金属偏滤器
液金属偏滤器	液态金属偏滤器	deprecated	zh	非标准缩略(液态金属≠液金属)：应为 液态金属偏滤器
淬火	失超	forbidden	zh	误译quench：金属热处理义，超导应为 失超
淬灭	失超	forbidden	zh	误译quench：超导语境正确为 失超
淬灭保护	失超保护	forbidden	zh	误译quench：超导应为 失超保护
淬灭检测	失超检测	forbidden	zh	误译quench：超导应为 失超检测
深层渗透	深穿透	forbidden	zh	误译penetration：正确为 深穿透
深度穿透	深穿透	deprecated	zh	非标准：应为 深穿透
深度防御	纵深防御	deprecated	zh	非标准：应为 纵深防御
混合不稳定	混合不稳定性	deprecated	zh	缺字'性'：应为 混合不稳定性
混合场景	混合运行模式	forbidden	zh	误译scenario：正确为 混合运行模式
混合方案	混合运行模式	forbidden	zh	误译scenario：正确为 混合运行模式
混合材质	混合材料	deprecated	zh	非标准(材质≠材料)：应为 混合材料
混合物质	混合材料	forbidden	zh	误译material(材料≠物质)：正确为 混合材料
清洗气	吹扫气	forbidden	zh	误译purge：正确为 吹扫气
清点	计数统计	forbidden	zh	误译tallying：正确为 计数统计
清除指数	清洁解控指数	forbidden	zh	误译clearance：正确为 清洁解控指数
渗入	渗透	deprecated	zh	非标准：应为 渗透
温度应力	热应力	deprecated	zh	非标准(温度应力≠热应力)：应为 热应力
温度底座	温度基座	forbidden	zh	误译pedestal：正确为 温度基座
温度扩散	热扩散	forbidden	zh	误译thermo(热≠温度)：正确为 热扩散
温德尔斯坦7-X	W7-X	forbidden	zh	误音译(装置名应保留 Wendelstein 7-X)
湍流传播	湍流扩展	forbidden	zh	误译spreading(扩展≠传播)：正确为 湍流扩展
湍流传输	湍流输运	deprecated	zh	非标准：应为 湍流输运
湍流压抑	湍流抑制	forbidden	zh	误译suppression：正确为 湍流抑制
湍流弥散	湍流扩散输运	forbidden	zh	误译diffusion(扩散≠弥散)：正确为 湍流扩散输运
湍流扩散系数	湍流扩散输运	deprecated	zh	非标准：应为 湍流扩散输运
湍流蔓延	湍流扩展	forbidden	zh	误译spreading：正确为 湍流扩展
湍流运输	湍流输运	forbidden	zh	误译transport：正确为 湍流输运
溅射收率	溅射产额	forbidden	zh	误译yield(产额≠收率)：正确为 溅射产额
溅射率	溅射产额	forbidden	zh	率暗示时间量纲：正确为 溅射产额
溅射系数	溅射产额	deprecated	zh	非标准：应为 溅射产额
源术语	源项	forbidden	zh	误译term：正确为 源项
源条件	源项	forbidden	zh	误译term：正确为 源项
溶化层	熔化层	forbidden	zh	误字溶→熔(化学溶解≠物理熔化)：正确为 熔化层
漂流波	漂移波	forbidden	zh	误译drift：正确为 漂移波
漂移动力学	漂移动理学	forbidden	zh	误译kinetics：正确为 漂移动理学
漂移运动学	漂移动理学	forbidden	zh	误译kinetics：正确为 漂移动理学
演示堆	示范堆	forbidden	zh	误译demo：正确为 示范堆
漩涡电流	涡流	forbidden	zh	误译eddy：正确为 涡流
漩涡管	旋流管	forbidden	zh	误译swirl：正确为 旋流管
激光兆焦装置	兆焦耳激光装置	forbidden	zh	语序错：正确为 兆焦耳激光装置
激光硼融合	激光硼聚变	forbidden	zh	误译fusion：正确为 激光硼聚变
激光等离子交互	激光等离子体相互作用	forbidden	zh	缺字+非标准：正确为 激光等离子体相互作用
